day	hour	value
4   7	   6
4   8	   162
4   9	   516
4   10   	620
4   11   	376
4   12   	88
4   13   	410
4   14   	26
4   15   	1
4   16   	0
4   17   	0
4   18   	0
4   19   	0
4   20   	0
4   21   	0
4   22   	0
5   1	   0
5   2	   0
5   3	   0
5   4	   0
5   5	   0
5   6	   0
5   7	   22
5   8	   163
5   9	   689
5   10   	566
5   11   	381
5   12   	114
5   13   	328
5   14   	294
5   15   	114
5   16   	11
5   17   	0
5   18   	0
5   19   	0
5   20   	0
5   21   	0
5   22   	0
6   1	   0
6   2	   0
6   3	   0
6   4	   0
6   5	   0
6   6	   0
6   7	   5
6   8	   169
6   9	   257
6   10   	233
6   11   	189
6   12   	26
6   13   	185
6   14   	51
6   15   	47
6   16   	0
6   17   	0
6   18   	1
6   19   	1
6   20   	0
6   21   	0
6   22   	0
7   1	   0
7   2	   0
7   3	   0
7   4	   4
7   5	   6
7   6	   24
7   7	   16
7   8	   43
7   9	   46
7   10   	16
7   11   	25
7   12   	14
7   13   	36
7   14   	9
7   15   	25
7   16   	1
7   17   	0
7   18   	0
7   19   	0
7   20   	0
7   21   	0
7   22   	0
8   1	   0
8   2	   0
8   3	   0
8   4	   21
8   5	   32
8   6	   184
8   7	   276
8   8	   105
8   9	   0
8   10   	136
8   11   	37
8   12   	16
8   13   	0
8   14   	0
8   15   	12
8   16   	14
8   17   	0
8   18   	0
8   19   	0
8   20   	0
8   21   	0
8   22   	0
9   1	   0
9   2	   0
9   3	   0
9   4	   4
9   5	   43
9   6	   65
9   7	   41
9   8	   11
9   9	   35
9   10   	37
9   11   	6
9   12   	0
9   13   	0
9   14   	0
9   15   	0
9   16   	0
9   17   	0
9   18   	0
9   19   	0
9   20   	0
9   21   	0
9   22   	0
